Attadale|-32.0167|115.783
Augusta|-34.3167|115.167
Australind|-33.2833|115.717
Baerami|-32.4|150.483
Balhannah|-34.9833|138.833
Balnarring|-38.3667|145.133
Bannockburn|-38.05|144.167
Barry Beach|-38.7|146.383
Beelbangera|-34.2667|146.1
Belrose|-33.7333|151.217
Belvidere|-35.3|138.933
Beresfield|-32.8|151.65
Berkeley Vale|-33.35|151.433
Berrys Creek|-38.4167|146.067
Bicheno|-41.8667|148.283
Bing Bong|-15.6|136.35
Black Point|-11.15|132.15
Blackmans Bay|-42.9833|147.317
Blacktip Terminal|-14.4|129.35
Blayney|-33.5333|149.25
Bobin|-31.7167|152.283
Bomaderry|-34.85|150.617
Booby Island|-10.6|141.917
Boondall|-27.3333|153.05
Boort|-36.1167|143.717
Boundary Bend|-34.7|143.15
Boyer|-42.8333|147.3
Bremer Bay|-34.3833|119.367
Bridgewater-on-Loddon|-36.6|143.95
Bridport|-41|147.4
Brighton-Le-Sands|-33.95|151.15
Brisbane|-27.4667|153.017
Broke|-32.75|151.1
Bulli|-34.3|150.917
Bullsbrook|-31.6667|116
Bulwer|-27.0667|153.367
Burketown|-17.7333|139.533
Bushy Park|-37.8667|147.033
Cambridge|-42.8333|147.45
Camperdown|-33.8833|151.167
Capalaba|-27.5167|153.183
Cape Don|-11.3167|131.75
Carboor|-36.6333|146.55
Carina Heights|-27.5|153.083
Carlingford|-33.7833|151.05
Caufield North|-37.8667|14.85
Caversham|-31.8833|115.967
Chermside|-27.3833|153.167
Chinderah|-28.2333|153.55
Chittering|-31.4833|116.1
Clare|-33.8333|138.6
Claremont|-31.9833|115.783
Clarendon|-35.1167|138.633
Cleveland|-27.5333|153.267
Clovelly|-33.9|151.25
Cockatoo Island|-16.1|123.617
Coldstream|-37.7167|145.367
Como|-34|151.067
Condamine|-26.9333|150.133
Coolum|-26.55|153.083
Coomera|-27.8833|153.3
Coonawarra|-37.3|140.817
Coorparoo|-27.5|153.05
Coral Bay|-23.1333|113.767
Coral Sea|-19.0833|150.9
Corio Bay|-38.1167|144.433
Coromandel Valley|-35.05|138.617
Cottesloe|-32|115.767
Cottles Bridge|-37.6333|145.217
Cowandilla|-34.9167|138.55
Cowaramup|-33.8667|115.083
Crafers|-35|138.7
Crestmead|-27.6833|153.083
Cromer|-34.7667|139
Cronulla|-34.05|151.15
Dalrymple Islet|-9.6|143.3
Dalton|-34.7167|149.183
Dardanup|-33.4|115.75
Darwin|-12.45|130.833
Dhipirrinjura|-12.25|135.083
Diamond Creek|-37.6667|145.15
Drysdale|-38.1667|144.567
Eden Valley|-34.65|139.1
Elizabeth Bay|-11.9|136.55
Eltham|-37.7333|145.15
Evans Landing|-12.6667|141.85
Findon|-34.9|138.533
Flynn|-38.1667|146.683
Frankland|-34.3667|114.067
Freshwater|-33.7667|151.283
Garbutt|-19.2667|146.767
Gembrook|-37.95|145.55
Goolwa|-35.5|138.783
Gordon|-37.5833|144.1
Gove Harbour|-12.2167|136.667
Grantham|-27.5833|152.2
Gravelly Beach|-41.3|146.967
Great Western|-37.15|142.85
Greenock|-34.4667|138.917
Gruyere|-37.7333|145.45
Gumeracha|-34.8333|138.883
Hahndorf|-35.0333|138.8
Halletts Cove|-35.0667|138.5
Hampton|-38.3333|145.25
Hanwood|-34.3333|146.033
Happy Valley|-35.0833|138.533
Hastings|-38.3|145.25
Heathcote|-36.9167|144.717
Heatherbrae|-32.7833|151.733
Henderson|-32.1667|115.767
Hinchinbrook Island|-18.3833|146.283
Hobart|-42.8667|147.3
Hoddles Creek|-37.8333|145.583
Ingle Farm|-34.8333|138.633
Irymple|-34.25|142.167
Jarrahdale|-32.35|116.067
Kangarilla|-35.15|138.65
Karumba|-17.4833|140.833
Kayena|-41.1833|146.883
