destination|lat|long
Michelbach am Heuchelberg|49.0667|8.93333
Minden|52.2833|8.9
Minheim|49.8667|6.93333
Minsen|53.7|7.96667
Misburg|52.3667|9.85
Mittelherwigsdorf|50.9167|14.7667
Mittelsb�ren|53.1333|8.66667
M�gglingen|48.8167|9.96667
Mommenheim|49.8667|8.25
Monchweiler|48.1|8.43333
Mondorf|50.7833|7.06667
Monheim|48.8333|10.8333
Motzen|53.1667|8.56667
M�glitztal|50.9333|13.8333
M�hlberg|51.4333|13.2167
M�lheim|49.9|7
M�lheim an der Ruhr|51.4333|6.88333
Mulsen|50.75|12.5667
Munchsdorf|48.5833|12.9
Munster|52.9833|10.0833
M�nster|51.9667|7.63333
M�nster-Sarmsheim|49.95|7.88333
Nahmitz|52.3333|12.7333
Neckartailfingen|48.6167|9.25
Neckarzimmern|49.3167|9.15
Neef|50.1|7.13333
Nessmersiel|53.6667|7.35
Neuendorf-Hiddensee|54.9167|13.5167
Neuessen|51.5|7
Neuharlingersiel|53.7|7.7
Neuhaus an der Oste|53.8|9.03333
Neukieritzsch|51.1667|12.4333
Neuland/Elbe|53.75|9.33333
Neuleiningen|49.5333|8.13333
Neumagen-Dhron|49.85|6.88333
Neumarkt-Sankt Veit|48.3667|12.5
Neuscharrel|53.0167|7.78333
Neuss|51.1833|6.68333
Neustadt in Holstein|54.1|10.8167
Neustadt-Glewe|53.3833|11.5833
Niebelsbach|48.8833|8.56667
Niederdollendorf|50.7|7.18333
Niederkaina|51.2|14.4833
Niederneuching|48.25|11.85
Niehl/K�ln|51|6.96667
Niendorf Ostsee|54|10.8167
Niesch�tz|51.2333|13.4333
N�bdenitz|50.8667|12.2833
Norddeich|53.6167|7.15
Nordenham|53.5|8.48333
Nordheim|49.1|9.13333
Nordhorn|52.4333|7.08333
Nordstrand|54.5|8.88333
N�rnberg|49.4333|11.0667
Nusplingen|48.1333|8.86667
Ober-Abtsteinach|49.5333|8.78333
Obereiderhafen|54.3|9.66667
Oberhausen|51.4667|6.85
Oberhausen an der Nahe|49.7833|7.75
Oberkotzau|50.2667|11.9333
Ober-M�rlen|50.3667|8.68333
Oberthal|49.5167|7.1
Oberwesel|50.1167|7.71667
Oberwinter|50.6|7.2
Oestrich-Winkel|50|8
Offenbach|50.1|8.76667
Oldenburg|53.1667|8.2
Oldendorf|53.45|8.51667
